BanGhiSinhHoc[idConVat=001-LonRung-DN, viTri=(11.422179, 107.428679), giaToc=GiaToc[trucX=[0.42, 0.45, 0.43, 0.46, 0.44, 0.42, 0.45, 0.43, 0.46, 0.44], trucY=[0.43, 0.46, 0.44, 0.42, 0.45, 0.43, 0.46, 0.44, 0.42, 0.45], trucZ=[0.44, 0.42, 0.45, 0.43, 0.46, 0.44, 0.42, 0.45, 0.43, 0.46]], mocThoiGianSuKien=2026-06-19 11:17:27, mocThoiGianHeThong=2026-06-19 14:25:10, trangThai=KHOI_DONG_LANH, t1=2026-06-19 14:25:10, doTre=11263902 ms]
BanGhiSinhHoc[idConVat=003-NaiRung-BD, viTri=(11.422179, 107.428679), giaToc=GiaToc[trucX=[0.42, 0.45, 0.43, 0.46, 0.44, 0.42, 0.45, 0.43, 0.46, 0.44], trucY=[0.43, 0.46, 0.44, 0.42, 0.45, 0.43, 0.46, 0.44, 0.42, 0.45], trucZ=[0.44, 0.42, 0.45, 0.43, 0.46, 0.44, 0.42, 0.45, 0.43, 0.46]], mocThoiGianSuKien=2026-06-19 11:17:28, mocThoiGianHeThong=2026-06-19 14:25:10, trangThai=KHOI_DONG_LANH, t1=2026-06-19 14:25:10, doTre=11262904 ms]
BanGhiSinhHoc[idConVat=001-LonRung-BD, viTri=(11.417765, 107.420339), giaToc=GiaToc[trucX=[0.18, 0.21, 0.19, 0.22, 0.2, 0.18, 0.21, 0.19, 0.22, 0.2], trucY=[0.19, 0.22, 0.2, 0.18, 0.21, 0.19, 0.22, 0.2, 0.18, 0.21], trucZ=[0.2, 0.18, 0.21, 0.19, 0.22, 0.2, 0.18, 0.21, 0.19, 0.22]], mocThoiGianSuKien=2026-06-19 11:17:29, mocThoiGianHeThong=2026-06-19 14:25:10, trangThai=GIA_LAP, t1=2026-06-19 14:25:10, doTre=11261905 ms]
BanGhiSinhHoc[idConVat=001-LonRung-CT, viTri=(11.395210, 107.451658), giaToc=GiaToc[trucX=[0.42, 0.45, 0.43, 0.46, 0.44, 0.42, 0.45, 0.43, 0.46, 0.44], trucY=[0.43, 0.46, 0.44, 0.42, 0.45, 0.43, 0.46, 0.44, 0.42, 0.45], trucZ=[0.44, 0.42, 0.45, 0.43, 0.46, 0.44, 0.42, 0.45, 0.43, 0.46]], mocThoiGianSuKien=2026-06-19 11:17:30, mocThoiGianHeThong=2026-06-19 14:25:10, trangThai=GIA_LAP, t1=2026-06-19 14:25:10, doTre=11260905 ms]
BanGhiSinhHoc[idConVat=002-HuouVang-CT, viTri=(11.422179, 107.428679), giaToc=GiaToc[trucX=[0.42, 0.45, 0.43, 0.46, 0.44, 0.42, 0.45, 0.43, 0.46, 0.44], trucY=[0.43, 0.46, 0.44, 0.42, 0.45, 0.43, 0.46, 0.44, 0.42, 0.45], trucZ=[0.44, 0.42, 0.45, 0.43, 0.46, 0.44, 0.42, 0.45, 0.43, 0.46]], mocThoiGianSuKien=2026-06-19 11:17:31, mocThoiGianHeThong=2026-06-19 14:25:10, trangThai=KHOI_DONG_LANH, t1=2026-06-19 14:25:10, doTre=11259905 ms]
BanGhiSinhHoc[idConVat=006-KhiDuoiLon-BD, viTri=(11.422179, 107.428679), giaToc=GiaToc[trucX=[0.42, 0.45, 0.43, 0.46, 0.44, 0.42, 0.45, 0.43, 0.46, 0.44], trucY=[0.43, 0.46, 0.44, 0.42, 0.45, 0.43, 0.46, 0.44, 0.42, 0.45], trucZ=[0.44, 0.42, 0.45, 0.43, 0.46, 0.44, 0.42, 0.45, 0.43, 0.46]], mocThoiGianSuKien=2026-06-19 11:17:32, mocThoiGianHeThong=2026-06-19 14:25:10, trangThai=KHOI_DONG_LANH, t1=2026-06-19 14:25:10, doTre=11258905 ms]
BanGhiSinhHoc[idConVat=005-SonDuong-DL, viTri=(11.422179, 107.428679), giaToc=GiaToc[trucX=[0.18, 0.21, 0.19, 0.22, 0.2, 0.18, 0.21, 0.19, 0.22, 0.2], trucY=[0.19, 0.22, 0.2, 0.18, 0.21, 0.19, 0.22, 0.2, 0.18, 0.21], trucZ=[0.2, 0.18, 0.21, 0.19, 0.22, 0.2, 0.18, 0.21, 0.19, 0.22]], mocThoiGianSuKien=2026-06-19 11:17:33, mocThoiGianHeThong=2026-06-19 14:25:10, trangThai=KHOI_DONG_LANH, t1=2026-06-19 14:25:10, doTre=11257905 ms]
BanGhiSinhHoc[idConVat=004-BoTot-CT, viTri=(11.428078, 107.441042), giaToc=GiaToc[trucX=[0.42, 0.45, 0.43, 0.46, 0.44, 0.42, 0.45, 0.43, 0.46, 0.44], trucY=[0.43, 0.46, 0.44, 0.42, 0.45, 0.43, 0.46, 0.44, 0.42, 0.45], trucZ=[0.44, 0.42, 0.45, 0.43, 0.46, 0.44, 0.42, 0.45, 0.43, 0.46]], mocThoiGianSuKien=2026-06-19 11:17:34, mocThoiGianHeThong=2026-06-19 14:25:10, trangThai=GIA_LAP, t1=2026-06-19 14:25:10, doTre=11256907 ms]
BanGhiSinhHoc[idConVat=001-LonRung-BD, viTri=(11.380883, 107.465710), giaToc=GiaToc[trucX=[0.42, 0.45, 0.43, 0.46, 0.44, 0.42, 0.45, 0.43, 0.46, 0.44], trucY=[0.43, 0.46, 0.44, 0.42, 0.45, 0.43, 0.46, 0.44, 0.42, 0.45], trucZ=[0.44, 0.42, 0.45, 0.43, 0.46, 0.44, 0.42, 0.45, 0.43, 0.46]], mocThoiGianSuKien=2026-06-19 11:17:35, mocThoiGianHeThong=2026-06-19 14:25:10, trangThai=GIA_LAP, t1=2026-06-19 14:25:10, doTre=11255907 ms]
BanGhiSinhHoc[idConVat=003-NaiRung-CT, viTri=(11.421344, 107.434655), giaToc=GiaToc[trucX=[0.42, 0.45, 0.43, 0.46, 0.44, 0.42, 0.45, 0.43, 0.46, 0.44], trucY=[0.43, 0.46, 0.44, 0.42, 0.45, 0.43, 0.46, 0.44, 0.42, 0.45], trucZ=[0.44, 0.42, 0.45, 0.43, 0.46, 0.44, 0.42, 0.45, 0.43, 0.46]], mocThoiGianSuKien=2026-06-19 11:17:36, mocThoiGianHeThong=2026-06-19 14:25:10, trangThai=GIA_LAP, t1=2026-06-19 14:25:10, doTre=11254907 ms]
BanGhiSinhHoc[idConVat=001-LonRung-CT, viTri=(11.371130, 107.483351), giaToc=GiaToc[trucX=[0.42, 0.45, 0.43, 0.46, 0.44, 0.42, 0.45, 0.43, 0.46, 0.44], trucY=[0.43, 0.46, 0.44, 0.42, 0.45, 0.43, 0.46, 0.44, 0.42, 0.45], trucZ=[0.44, 0.42, 0.45, 0.43, 0.46, 0.44, 0.42, 0.45, 0.43, 0.46]], mocThoiGianSuKien=2026-06-19 11:17:37, mocThoiGianHeThong=2026-06-19 14:25:10, trangThai=GIA_LAP, t1=2026-06-19 14:25:10, doTre=11253907 ms]
