idConVat,trangThai,ODBA,tyLeNangLuong,t1,t2,doTreModule2
001-LonRung-DN,BINH_THUONG,0.3600,0.23,1781842647000,1781853045383,10398383
003-NaiRung-BD,BINH_THUONG,0.3600,0.23,1781842648000,1781853045405,10397405
001-LonRung-BD,BINH_THUONG,0.3600,0.23,1781842649000,1781853045405,10396405
001-LonRung-CT,BINH_THUONG,0.3600,0.23,1781842650000,1781853045406,10395406
002-HuouVang-CT,BINH_THUONG,0.3600,0.23,1781842651000,1781853045406,10394406
006-KhiDuoiLon-BD,BINH_THUONG,0.3600,0.23,1781842652000,1781853045406,10393406
005-SonDuong-DL,BINH_THUONG,0.3600,0.23,1781842653000,1781853045406,10392406
004-BoTot-CT,BINH_THUONG,0.3600,0.23,1781842654000,1781853045406,10391406
001-LonRung-BD,BINH_THUONG,0.3600,0.46,1781842655000,1781853045407,10390407
003-NaiRung-CT,BINH_THUONG,0.3600,0.23,1781842656000,1781853045407,10389407
001-LonRung-CT,BINH_THUONG,0.3600,0.46,1781842657000,1781853045409,10388409
001-LonRung-CT,BINH_THUONG,0.3600,0.69,1781842658000,1781853045409,10387409
002-HuouVang-DN,BINH_THUONG,0.0000,0.00,1781842659000,1781853045409,10386409
008-CheoCheo-DN,BINH_THUONG,0.3600,0.23,1781842660000,1781853045409,10385409
007-MangLon-CT,BINH_THUONG,0.0000,0.00,1781842661000,1781853045410,10384410
004-BoTot-DN,BINH_THUONG,0.3600,0.23,1781842662000,1781853045410,10383410
002-HuouVang-CT,BINH_THUONG,0.1800,0.23,1781842663000,1781853045410,10382410
003-NaiRung-DL,BINH_THUONG,0.3600,0.23,1781842664000,1781853045410,10381410
001-LonRung-DL,BINH_THUONG,0.3600,0.23,1781842665000,1781853045410,10380410
001-LonRung-DN,BINH_THUONG,0.3600,0.46,1781842666000,1781853045411,10379411
003-NaiRung-BD,BINH_THUONG,0.3600,0.46,1781842667000,1781853045411,10378411
008-CheoCheo-DN,BINH_THUONG,0.1800,0.23,1781842668000,1781853045411,10377411
