maSoDongVat,mucDoNghiemTrong,viDo,kinhDo,thoiGianSuKien,thoiGianGhiNhan,lyDo
001-LonRung-CT,KHAN_CAP,11.435684,107.442002,2026-06-13 15:40:00,2026-06-16 02:49:38,DINH_BAY + CANH_BAO – cộng hưởng rủi ro: bẫy trong vùng nguy hiểm
001-LonRung-CT,KHAN_CAP,11.435689,107.442007,2026-06-13 15:40:00,2026-06-16 02:49:38,DINH_BAY + CANH_BAO – cộng hưởng rủi ro: bẫy trong vùng nguy hiểm
001-LonRung-CT,KHAN_CAP,11.435694,107.442012,2026-06-13 15:40:00,2026-06-16 02:49:38,DINH_BAY + CANH_BAO – cộng hưởng rủi ro: bẫy trong vùng nguy hiểm
001-LonRung-CT,KHAN_CAP,11.435699,107.442017,2026-06-13 15:40:00,2026-06-16 02:49:38,DINH_BAY + CANH_BAO – cộng hưởng rủi ro: bẫy trong vùng nguy hiểm
001-LonRung-CT,KHAN_CAP,11.435704,107.442022,2026-06-13 15:40:00,2026-06-16 02:49:38,DINH_BAY + CANH_BAO – cộng hưởng rủi ro: bẫy trong vùng nguy hiểm
001-LonRung-CT,KHAN_CAP,11.435709,107.442027,2026-06-13 15:40:00,2026-06-16 02:49:38,DINH_BAY + CANH_BAO – cộng hưởng rủi ro: bẫy trong vùng nguy hiểm
001-LonRung-CT,KHAN_CAP,11.435714,107.442032,2026-06-13 15:40:00,2026-06-16 02:49:38,DINH_BAY + CANH_BAO – cộng hưởng rủi ro: bẫy trong vùng nguy hiểm
001-LonRung-CT,KHAN_CAP,11.435719,107.442037,2026-06-13 15:40:00,2026-06-16 02:49:38,DINH_BAY + CANH_BAO – cộng hưởng rủi ro: bẫy trong vùng nguy hiểm
001-LonRung-BD,CANH_BAO,11.445166,107.450240,2026-06-13 19:40:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
001-LonRung-BD,CANH_BAO,11.431000,107.437240,2026-06-13 19:40:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
